,D/E1,D/E2
2012-01-01,-1.6459491404759632,-1.4011581670629774
2012-02-01,-1.6501204724726435,-1.405338756379269
2012-03-01,-1.6524144894227817,-1.4076419688212631
2012-04-01,-1.6549629962979502,-1.4088311635129713
2012-05-01,-1.6379876345733386,-1.390491201255415
2012-06-01,-1.7668635128889,-1.5179971584892478
2012-07-01,-1.4875623750564735,-1.2384314378435555
2012-08-01,-1.4618355247922352,-1.2124415544918676
2012-09-01,-1.4611195667224948,-1.211464099475556
2012-10-01,-1.4619513218955156,-1.2124655085657352
2012-11-01,-1.464159397893951,-1.214843117957404
2012-12-01,-1.4660969273284188,-1.2169500603919943
2013-01-01,-1.4647764468053914,-1.2147930157883522
2013-02-01,-1.4647320706296583,-1.2139104341353182
2013-03-01,-1.4625143377494148,-1.2108528492502195
2013-04-01,-1.4781031759102703,-1.225151369475995
2013-05-01,-1.47439974704497,-1.220176258916588
2013-06-01,-1.5136732592932276,-1.2581963238514255
2013-07-01,-1.376805229190186,-1.1213901475338872
2013-08-01,-1.3917618904487945,-1.136407495446992
2013-09-01,-1.3983940131361159,-1.1430991703833833
2013-10-01,-1.4106930288590291,-1.1547305021601026
2013-11-01,-1.4237112910086687,-1.1670965816823475
2013-12-01,-1.4361870135331927,-1.1789350891281245
2014-01-01,-1.4526540488832786,-1.196042780542161
2014-02-01,-1.4674004635130196,-1.2114095957184823
2014-03-01,-1.4850673782302763,-1.229677601252316
2014-04-01,-1.4826054379844287,-1.2282403129709891
2014-05-01,-1.4824438992990139,-1.2290849234782968
2014-06-01,-1.258413622700143,-1.0060427904855338
2014-07-01,-1.401695924488358,-1.1491936424275053
2014-08-01,-1.4125064891065442,-1.1598746678350764
2014-09-01,-1.3741682920079583,-1.1214088008040974
2014-10-01,-1.423511739525626,-1.1706161642910793
2014-11-01,-1.433232769528285,-1.18020396790439
2014-12-01,-1.4431553325700897,-1.1899960731204793
2015-01-01,-1.4481345514391428,-1.195007015172024
2015-02-01,-1.4565436120972137,-1.2034473156562058
2015-03-01,-1.4649694804521154,-1.2119039514444516
2015-04-01,-1.4476027570584407,-1.192399828407119
2015-05-01,-1.429022057587403,-1.1716763344266639
2015-06-01,-1.5820176622699478,-1.322523724344915
2015-07-01,-1.4255711959145039,-1.1652446816859268
2015-08-01,-1.4336630340576662,-1.1725109119731627
2015-09-01,-1.4666398109880063,-1.204668962095763
2015-10-01,-1.4752250667390427,-1.2138193509398576
2015-11-01,-1.4891118015940954,-1.2282525974103784
2015-12-01,-1.5015272498415868,-1.2411968413391037
2016-01-01,-1.496644281765704,-1.235073127473811
2016-02-01,-1.4866691671670473,-1.2238378598137878
2016-03-01,-1.4782676008585547,-1.2141562732165951
2016-04-01,-1.4886167214015842,-1.2235338197724985
2016-05-01,-1.4871616308022269,-1.2211048493605006
2016-06-01,-1.3523825812681949,-1.0853496055064937
2016-07-01,-1.4551336342464545,-1.1888557029090272
2016-08-01,-1.423157348622805,-1.1576329767339644
2016-09-01,-1.4263450395718529,-1.1615727467457795
2016-10-01,-1.4266661066382191,-1.1642492240580182
2016-11-01,-1.419141623098369,-1.159104844196964
2016-12-01,-1.413167442931094,-1.1555358583546074
2017-01-01,-1.4299776810438587,-1.1746788260945316
2017-02-01,-1.448687906313765,-1.1956421088274567
2017-03-01,-1.4604432411521557,-1.2095748475595158
2017-04-01,-1.4779977554774284,-1.2305429458859614
2017-05-01,-1.473846221924017,-1.2296710137267404
2017-06-01,-1.5093345584663567,-1.2683127220686181
2017-07-01,-1.3894648614419935,-1.1505340328421774
2017-08-01,-1.3953848410795437,-1.158471018156483
2017-09-01,-1.398250940358924,-1.163283985052935
2017-10-01,-1.4106135804708053,-1.1765510492047326
2017-11-01,-1.4266240208677488,-1.1934412882241432
2017-12-01,-1.4416572810751838,-1.2093307141969802
2018-01-01,-1.4547662259406664,-1.2247142731978364
2018-02-01,-1.4719902986713898,-1.2441291325142352
2018-03-01,-1.4915563076307023,-1.2658066556547105
2018-04-01,-1.5044958399362507,-1.2791772962087578
2018-05-01,-1.4347019452115077,-1.2098047893821438
2018-06-01,-1.4094160148898247,-1.1849308517317532
2018-07-01,-1.4103477537966,-1.1860535267573944
2018-08-01,-1.4114044697232373,-1.187296349674412
2018-09-01,-1.4123672673786771,-1.1884406061133852
2018-10-01,-1.4226564657589513,-1.1985780258264462
2018-11-01,-1.4359231337297231,-1.2116975617190207
2018-12-01,-1.4468106616839016,-1.2224423940217477
2019-01-01,-1.4566721428517937,-1.2316316547001875
2019-02-01,-1.4602958795920955,-1.2345914106045406
2019-03-01,-1.4669011291695995,-1.2405407682840135
2019-04-01,-1.4360701068770112,-1.2052730491321277
2019-05-01,-1.4173778849230665,-1.1819320775317834
2019-06-01,-1.329390568387936,-1.0890683296630215
2019-07-01,-1.346101549978819,-1.1065064114548484
2019-08-01,-1.3517752230842284,-1.1128912623236609
2019-09-01,-1.3664902673733543,-1.1283020794654526
2019-10-01,-1.3729617353752062,-1.1378680187583896
2019-11-01,-1.3752173951690487,-1.143185025117294
2019-12-01,-1.3810832140298075,-1.152079608978113
