,D/E,D/P,D/Y,E/P,B/M,SVAR,INF,NTIS,TO,M0G,M1G,M2G
2013/10/1,0.007548437,0.021170909,0.023366716,0.01325934,0.018912952,0.005527199,0.013945022,-0.000809792,0.027802404,0.009668507,0.013666884,0.009647895
2013/11/1,0.006888763,0.020669819,0.022077164,0.012730925,0.018176376,0.005422394,0.018654245,-0.000907803,0.021083977,0.009484471,0.002693022,0.009544742
2013/12/1,0.006498355,0.020506194,0.02257512,0.013121471,0.018025579,0.005444049,0.007941538,-0.000726143,0.015465813,0.009644502,0.011123325,0.009747179
2014/1/1,0.005719965,0.019854475,0.021001715,0.012265473,0.017071565,0.005239324,0.00595364,-0.00093765,0.014613728,0.009391217,0.004358644,0.009258325
2014/2/1,0.004773585,0.019269059,0.020618865,0.011600583,0.016660803,0.004707459,0.010738382,-0.001078199,0.008175648,0.00887132,0.03378369,0.009175265
2014/3/1,0.004118608,0.018989229,0.020713582,0.011598786,0.016275057,0.005077588,0.021248808,-0.001030945,0.016731184,0.0093301,-0.007027592,0.009386016
2014/4/1,0.003144592,0.018507603,0.0198168,0.011026588,0.015445453,0.005467607,0.014097031,-0.00113207,0.021088846,0.00871099,0.002297701,0.008853815
2014/5/1,0.003145884,0.018240364,0.019739573,0.010691674,0.015211461,0.004392739,-0.000595958,-0.001165959,0.014229429,0.008960551,0.019330814,0.009165481
2014/6/1,0.00314769,0.018128359,0.019737871,0.010687021,0.014975322,0.003847304,0.00162234,-0.001110666,0.004588582,0.008881126,0.004360437,0.009058872
2014/7/1,0.013292278,0.020171774,0.022172159,0.010878477,0.015027694,0.003948628,0.007981272,-0.000996851,0.007099542,0.008889231,0.001918418,0.008819342
2014/8/1,0.007148533,0.019364694,0.021750345,0.012032674,0.016488321,0.004810526,0.005081993,-0.000617395,0.029596434,0.009387735,0.024958036,0.009534975
2014/9/1,0.006709964,0.019074543,0.02073501,0.012076023,0.016185917,0.004782577,0.007682532,-0.000547882,0.034568812,0.009439305,0.002543131,0.009554549
2014/10/1,0.008778369,0.019446336,0.021827953,0.01282061,0.016151412,0.005832305,0.009826624,-0.000219506,0.04206793,0.009754597,0.013133695,0.010044293
2014/11/1,0.006605484,0.018949637,0.020258024,0.012916808,0.016219855,0.00551426,0.01366203,-0.000115123,0.031592181,0.009670422,0.005239755,0.01031856
2014/12/1,0.00656635,0.018753927,0.020982017,0.013596944,0.015846394,0.006435301,0.008075907,0.000283515,0.04721627,0.010139823,0.008252044,0.010515242
2015/1/1,0.006802541,0.018190147,0.021148268,0.014388978,0.01475688,0.01405928,0.005188298,0.000960678,0.092702519,0.010770777,0.006443256,0.010465113
2015/2/1,0.006607351,0.017922497,0.01894051,0.014299375,0.015076838,0.014424998,0.013223549,0.001004406,0.044903578,0.010805321,0.018243262,0.010888288
2015/3/1,0.006411768,0.017615818,0.018826005,0.014378026,0.014658958,0.007909986,0.012089472,0.00120607,0.012369711,0.011279877,0.018668219,0.011014553
2015/4/1,0.006786783,0.016545957,0.019259894,0.014623823,0.013164927,0.009614163,0.025871963,0.001961418,0.058111602,0.008360485,0.001069818,0.011406992
2015/5/1,0.008453758,0.01548442,0.018161677,0.014540535,0.012419942,0.012395235,0.001155383,0.002857798,0.069087134,0.012259637,0.014199703,0.013038122
2015/6/1,0.009709577,0.014919416,0.016298351,0.014307504,0.011693251,0.018515344,0.007019564,0.003326752,0.052543412,0.01269354,0.008268967,0.011712952
2015/7/1,0.00301149,0.013499866,0.01211644,0.014392117,0.012279799,0.026214056,0.007006194,0.002880735,0.069820828,0.012159812,0.008584722,0.011283588
2015/8/1,0.008765106,0.017536612,0.015141707,0.014819345,0.015314597,0.022698004,0.009262208,0.002125077,0.080129596,0.011433554,0.021084133,0.011197468
2015/9/1,0.007759579,0.018459177,0.017287419,0.014652251,0.016963723,0.00326449,0.012919918,0.001434183,0.055494577,0.010759495,0.004306598,0.012557968
2015/10/1,0.006017847,0.018188963,0.018716757,0.014322745,0.017208293,0.007192055,0.015219017,0.001146211,0.030944883,0.010542569,0.014816846,0.012112709
2015/11/1,0.006261161,0.017340723,0.020588004,0.014684152,0.01651807,0.01047375,0.009874413,0.001774817,0.02994307,0.010878997,0.005669895,0.013314695
2015/12/1,0.005792774,0.016617046,0.018445111,0.014542835,0.01547866,0.010312269,0.003901313,0.00192355,0.039959953,0.011124709,0.011113199,0.011861019
2016/1/1,0.005399709,0.01569356,0.017553378,0.014280343,0.014235543,0.012084234,0.008442251,0.002062097,0.023903823,0.011410653,0.010679855,0.011231742
2016/2/1,0.004310142,0.017812309,0.014742983,0.014061468,0.018286021,0.004479442,0.015376054,0.000904221,0.021593415,0.009698099,0.011189434,0.00935861
2016/3/1,0.004692989,0.017760057,0.018813475,0.013775832,0.018113243,0.008888298,0.015198954,0.00080383,0.012418438,0.010388775,0.025533742,0.011504274
