,ridge,lasso,elastic net,lars,OMP
2008-12-01,-0.0365828099404951,0.02453099246920589,0.02497043639488622,-0.01206259677047605,0.006711900289161826
2009-01-01,-0.013252808164515434,0.040576004970044675,0.04088574596448039,-0.01533771860785747,0.00842527404810978
2009-02-01,-0.05415910692907576,-0.012746422101280163,-0.005579886218096014,-0.022598113678886016,-0.020753566986324863
2009-03-01,0.05164718366461089,0.06746900442282709,0.07208462116602836,0.015034336027548594,0.04079668474602638
2009-04-01,0.031087678812857532,0.0364957993902575,0.03659575311620166,0.01876146571703369,0.041697961288686955
2009-05-01,0.04214367371569054,0.04325456655733971,0.0432120874061051,0.027293416103044782,0.045431478269008986
2009-06-01,0.0016597275396962625,0.010769578754572212,0.010876470880593018,0.010436393897916589,0.018681623978212544
2009-07-01,0.021681887508150404,0.023396150179428817,0.02313366003894175,0.02677537218370175,0.03366236330840851
2009-08-01,0.058990534660603514,0.05136749130772582,0.051392356134718244,0.04244268348954651,0.06462672561022008
2009-09-01,0.02404580017767121,0.026962682883826493,0.02698127570795169,0.018725101228382456,0.0333973677090529
2009-10-01,0.013427100778645926,0.015647758477241515,0.0156454852713135,0.014184545741584443,0.017944268662088113
2009-11-01,-0.014479100197428244,-0.013631307571143957,-0.013654442066946368,0.004018205632288787,-0.006647078457019917
2009-12-01,0.02860796066969301,0.03341673784326429,0.03343877915008979,0.02711459559027036,0.03724922750015
2010-01-01,0.0038825363231298135,0.010183675842669179,0.010015628783531589,0.015467177585412462,0.015216007562765347
2010-02-01,0.0022236135415291624,0.00612964710219533,0.006160486491096951,0.012997479288029235,0.011592479460791064
2010-03-01,-0.030984521318790516,-0.02946166514690545,-0.02942094982750773,-0.0024234861830416525,-0.021908496886644015
2010-04-01,-0.002258810701350371,7.326587048769143e-05,6.697662087101105e-05,0.012539577997522432,0.015328455345285966
2010-05-01,0.00666939401410196,0.00795642558554951,0.007970197966038445,0.008943932563562188,0.008078697926735176
2010-06-01,-0.00781121957863673,-0.007028016973269921,-0.006875812341687502,0.00035241160423970066,-0.00704937760433281
2010-07-01,-0.015343248359770065,-0.014163177519439425,-0.0141736427632358,-0.0032296050486264835,-0.013444165371223052
2010-08-01,0.004263680418460786,0.00013846484821648832,0.0003695190103023407,0.009378997019472899,0.0037283892904194384
2010-09-01,0.02340237161959348,0.024340350542640027,0.024290455058233434,0.017073184410626895,0.025553425443889156
2010-10-01,0.014563858962338628,0.012744015138429876,0.012703791171909012,0.013967700782671871,0.008861775379969076
2010-11-01,0.023781500617984445,0.023792899005793434,0.023759363375741367,0.01779149284781234,0.019829669086700093
2010-12-01,0.04173638608726883,0.03896775544305735,0.03893621597752674,0.021734354196178092,0.03695656110994832
2011-01-01,0.006149462493793789,0.005238415170817217,0.005101979776949174,0.008113857440031442,0.00481162767104661
2011-02-01,-0.0060434325860514344,-0.008026483842186185,-0.007617041057298024,0.0024127314732542648,-0.009462954154526759
2011-03-01,-0.0038667916496438934,-0.00838482781403212,-0.005268794223457854,0.0008814003509802637,-0.005845738623553602
2011-04-01,0.008512630335285695,0.010042954133990483,0.009981294594693785,0.01078012716594615,0.015515545870107625
2011-05-01,0.00044723872487083987,0.0024376610153099163,0.0024576333261583866,0.0015945718520118627,-0.0030234019705372025
2011-06-01,-0.005164240011912744,-0.0046220232876996205,-0.004620151555504407,0.004063230385915415,-0.004448578968768763
2011-07-01,-0.002369630958860056,-0.002299198275303271,-0.002428739762809858,0.003422160005514434,-0.003525878052946154
2011-08-01,-0.008936821995605018,0.0006494949779076835,0.00030934990981418243,0.008623150244453051,0.0009287395138562405
2011-09-01,-0.019548666768548273,-0.011993285128773824,-0.01228848014220175,0.0004277932419080926,-0.001465830233142192
2011-10-01,-0.0372538693144223,-0.03144221284097864,-0.03134223326238574,-0.015593355222120412,-0.016701124683807057
2011-11-01,-0.03152412639725875,-0.02663963540357478,-0.026674557015809473,-0.008824356097697671,-0.017155187274870715
2011-12-01,-0.02043111441821967,-0.014411557969846302,-0.014591957610968783,-0.006400059990113299,-0.017906993460844227
2012-01-01,-0.034858152536784585,-0.029880550163526955,-0.029778931297637562,-0.014040367829682331,-0.033359573787361776
2012-02-01,-0.034179549720403345,-0.030861128676376408,-0.030754492810490752,-0.014701453046002923,-0.03088501145694662
2012-03-01,-0.014738955762964514,-0.009551653847782409,-0.009534819579744586,0.00029050121830969457,-0.011043657820171323
2012-04-01,-0.01136415829187253,-0.004001409282248245,-0.004070558318071295,-0.0033152026593499064,-0.009062950064891457
2012-05-01,-0.020235382002812722,-0.013779046116665158,-0.013633283427410794,-0.007444973029075165,-0.01127401775657361
