IPO_date,IPO_number
2006/11/16,60000000.00 
2006/11/16,75000000.00 
2006/11/16,38000000.00 
2006/11/20,37900000.00 
2006/11/20,24000000.00 
2006/11/20,30000000.00 
2006/11/24,79000000.00 
2006/11/24,44500000.00 
2006/11/28,80000000.00 
2006/11/28,34500000.00 
2006/11/30,80000000.00 
2006/11/30,26000000.00 
2006/11/30,17700000.00 
2006/12/8,17000000.00 
2006/12/8,32000000.00 
2006/12/8,100000000.00 
2006/12/15,16700000.00 
2006/12/15,34000000.00 
2006/12/15,15000000.00 
2006/12/22,15000000.00 
2006/12/22,33200000.00 
2006/12/22,55000000.00 
2006/12/26,27000000.00 
2006/12/26,16000000.00 
2006/12/29,17000000.00 
2006/12/29,30000000.00 
2007/1/10,48000000.00 
2007/1/10,28800000.00 
2007/1/12,68000000.00 
2007/1/12,48800000.00 
2007/1/24,18000000.00 
2007/1/24,18000000.00 
2007/1/26,40000000.00 
2007/1/26,100000000.00 
2007/1/26,21200000.00 
2007/2/8,20000000.00 
2007/2/8,22000000.00 
2007/2/15,25600000.00 
2007/2/15,20000000.00 
2007/2/15,29000000.00 
2007/3/2,28000000.00 
2007/3/2,16900000.00 
2007/3/2,25000000.00 
2007/3/6,17000000.00 
2007/3/6,15000000.00 
2007/3/28,34000000.00 
2007/3/28,16000000.00 
2007/4/3,18500000.00 
2007/4/3,25000000.00 
2007/4/18,30000000.00 
2007/4/18,28000000.00 
2007/4/18,78000000.00 
2007/4/20,100000000.00 
2007/4/20,14000000.00 
2007/4/27,19000000.00 
2007/4/27,41000000.00 
2007/4/27,63000000.00 
2007/5/16,50000000.00 
2007/5/30,50000000.00 
2007/5/30,20000000.00 
2007/6/13,33400000.00 
2007/6/13,24000000.00 
2007/6/29,18080000.00 
2007/7/12,16800000.00 
2007/7/20,20300000.00 
2007/7/19,450000000.00 
2007/8/3,27000000.00 
2007/8/3,60000000.00 
2007/8/8,70000000.00 
2007/8/8,24000000.00 
2007/8/10,12600000.00 
2007/8/10,23000000.00 
2007/8/10,17500000.00 
2007/8/13,13500000.00 
2007/8/13,36000000.00 
2007/8/13,14000000.00 
2007/8/16,24000000.00 
2007/8/16,98000000.00 
2007/8/16,67000000.00 
2007/8/17,19000000.00 
2007/8/17,38000000.00 
2007/8/17,30000000.00 
2007/8/21,42500000.00 
2007/8/21,16100000.00 
2007/8/23,95000000.00 
2007/8/23,34000000.00 
2007/8/23,30000000.00 
2007/9/13,19000000.00 
2007/9/13,16500000.00 
2007/9/13,12500000.00 
2007/9/19,13000000.00 
2007/9/19,18000000.00 
2007/9/19,24000000.00 
2007/9/21,35000000.00 
2007/9/21,44000000.00 
2007/9/25,17000000.00 
2007/9/25,21000000.00 
2007/10/12,14500000.00 
2007/10/12,17000000.00 
2007/11/1,19000000.00 
2007/11/1,20000000.00 
2007/11/1,30000000.00 
2007/11/13,14000000.00 
2007/11/16,70000000.00 
2007/11/13,48000000.00 
2007/11/13,31000000.00 
2007/11/16,28000000.00 
2007/11/20,44000000.00 
2007/11/20,36000000.00 
2007/11/22,40000000.00 
2007/11/22,20000000.00 
2007/12/3,50000000.00 
2007/12/3,27000000.00 
2007/12/5,67500000.00 
2007/12/5,15200000.00 
2007/12/7,20000000.00 
2007/12/7,53800000.00 
2007/12/12,14500000.00 
2007/12/12,20000000.00 
2007/12/18,22000000.00 
2007/12/18,20500000.00 
2007/12/21,16000000.00 
2007/12/21,21000000.00 
2007/12/26,20000000.00 
2007/12/26,50000000.00 
2008/1/16,55000000.00 
2008/1/16,54000000.00 
2008/1/23,20000000.00 
2008/1/23,32000000.00 
2008/1/28,25000000.00 
2008/1/28,26700000.00 
2008/1/30,29000000.00 
2008/1/30,35000000.00 
2008/2/1,61000000.00 
2008/2/1,38000000.00 
2008/2/1,26000000.00 
2008/2/18,25000000.00 
2008/2/18,30000000.00 
2008/2/20,23500000.00 
2008/2/20,31000000.00 
2008/2/28,40000000.00 
2008/3/6,23400000.00 
2008/2/28,18000000.00 
2008/3/6,56000000.00 
2008/3/19,47500000.00 
2008/4/18,26000000.00 
2008/4/25,19000000.00 
2008/4/25,60000000.00 
